ea_id,lsms_distroad,lsms_distpopctr,lsms_distadmarc,lsms_distauc,lsms_distboma,lsms_distborder,lsms_agpct,lsms_lcvr,lsms_aez,lsms_elev,weight,pweight,hh_members,pop,panelpop,wave
10101016,2.6568749,62.406876,12.01625,194.60187,23.789375,18.18125,20.875,48.75,323,1295.3125,2024.961547851563,2024.961547851563,95,192371.34,192371.34,1
10101204,.51375002,58.466873,10.821875,186.68875,22.5525,25.69375,48.6875,30,323,1403.25,2420.886474609375,2420.886474609375,90,217879.78,217879.78,1
10101215,9.2753334,91.712669,4.2413335,233.87134,19.275333,22.92,34.933334,36.25,323,1271.3334,2091.2958984375,2091.2958984375,76,158938.48,158938.48,1
10101219,12.394375,70.095627,12.875,216.22438,20.059999,16.775,44.6875,30,313,1167.5,2145.643310546875,2145.643310546875,64,137321.17,137321.17,1
10101355,.78125,63.126873,5.9400001,201.79562,20.629375,14.55625,47.3125,30,323,1260.625,1204.177612304688,1204.177612304688,80,96334.211,96334.211,1
10101374,1.185625,88.64875,5.9856248,225.91063,10.1125,14.61875,36,55,323,1369.3125,1345.848022460938,1345.848022460938,78,104976.15,104976.15,1
10101470,.77687496,82.332497,13.585,215.12813,1.948125,4.96875,54.3125,30,323,1341.3125,2081.465576171875,2081.465576171875,61,126969.4,126969.4,1
10101562,4.7243748,69.415627,5.2081251,210.63937,15.658125,10.70625,34.0625,31.25,321.75,1214.625,1623.198364257813,1623.198364257813,92,149334.25,149334.25,1
10101568,3.2281251,78.176247,11.281875,208.53062,8.1231251,5.7249999,46.8125,30,323,1260,827.3632202148438,827.3632202148438,78,64534.332,64534.332,1
10101706,13.344375,78.832497,14.135625,225.24562,19.946251,19.612499,13.5,60,323,1342.1875,2095.483154296875,2095.483154296875,61,127824.47,127824.47,1
10102004,10.994375,48.955624,7.0337501,197.60063,29.246876,29.7875,10.375,55,320.5,1229.8125,2756.36474609375,2756.36474609375,74,203970.98,203970.98,1
10102379,18.809376,53.260624,10.323125,209.80624,18.921875,35.599998,6.9375,78.75,313,969.1875,1126.08154296875,1126.08154296875,56,63060.566,63060.566,1
10102621,4.1881251,59.513748,9.453125,202.29875,24.46125,18.59375,.125,80,323,1617.125,991.2384033203125,991.2384033203125,69,68395.453,68395.453,1
10103414,1.0975,59.841873,3.3843751,180.44063,15.00875,31.481251,0,80.625,323,1559.6875,2253.795166015625,2253.795166015625,98,220871.92,220871.92,1
10103452,.54624999,50.767498,10.340625,169.87563,17.349375,42.743752,.625,84.375,323,1496.5,854.16162109375,854.16162109375,90,76874.547,76874.547,1
10103681,.456875,50.091873,11.30875,147.74875,28.86875,64.956253,25.3125,75,323,1500.125,1366.004760742188,1366.004760742188,78,106548.38,106548.38,1
10104150,11.715,39.66,2.7293749,145.80937,39.004375,70,22.25,75.625,323,1343.3125,1414.451171875,1414.451171875,80,113156.09,113156.09,1
10104351,1.806875,51.296249,8.0462503,138.20062,37.877502,74.831253,43.6875,30,322,1366.375,1251.990356445313,1251.990356445313,74,92647.289,92647.289,1
10104440,1.716875,56.931252,2.7275,127.31125,46.840626,85.681252,19.6875,81.25,322,1339.75,1481.804809570313,1481.804809570313,80,118544.38,118544.38,1
10105352,4.2906251,101.23812,5.1275001,232.76187,18.209375,24.487499,20.0625,49.375,323,1351,2081.465576171875,2081.465576171875,73,151946.98,151946.98,1
10105511,.3775,118.79625,21.783125,254.25688,3.1268749,44.856251,25.125,112.5,323,1357.4375,1125.744018554688,1125.744018554688,62,69796.133,69796.133,1
10105513,1.395625,101.54,5.1768751,238.12062,20.311874,27.40625,52.625,30,323,1311.875,1918.249633789063,1918.249633789063,87,166887.72,166887.72,1
10120286,.34437501,76.668121,8.1643753,210.27437,7.27,1.3875,35.8125,64.375,323,1278.25,1823.403198242188,1823.403198242188,78,142225.45,142225.45,1
10120288,.85500002,78.017502,9.2268753,212.30875,5.6824999,.88749999,28.1875,119.375,323,1289.6875,946.4000244140625,946.4000244140625,98,92747.203,92747.203,1
10201137,.705625,19.061874,3.629375,185.91624,10.401875,19.25,56.625,30,313,484.5625,1609.425659179688,1609.425659179688,81,130363.48,130363.48,1
10201210,3.336,23.952,2.322,189.75067,10.306666,24.16,66.533333,30,313,503.20001,1702.716796875,1702.716796875,71,120892.89,120892.89,1
10201247,5.2931252,20.703125,2.6118751,185.26625,14.72375,20.862499,63.9375,30,313,501.6875,2561.235107421875,2561.235107421875,63,161357.81,161357.81,1
10201442,6.0149999,26.453751,7.0837498,193.78375,2.295625,26.71875,33.1875,46.25,313,482.5625,1845.93603515625,1845.93603515625,90,166134.25,166134.25,1
10201688,1.071875,13.135625,5.50875,179.07375,17.391874,13.24375,47.625,30,313,491.1875,2302.71044921875,2302.71044921875,86,198033.09,198033.09,1
10202195,11.0775,42.598751,18.34,203.29437,10.93875,42.924999,15.125,100,313,555.875,3318.2880859375,3318.2880859375,56,185824.13,185824.13,1
10202514,3.264375,32.55125,8.8512497,199.49687,6.4381251,32.875,35.9375,32.5,313,493.4375,3461.129638671875,3461.129638671875,79,273429.25,273429.25,1
10203013,8.5318747,28.82,17.16375,166.68875,39.050625,28.9375,11.5,62.5,313,1008.25,1035.32958984375,1035.32958984375,76,78685.047,78685.047,1
10203085,.326875,5.9356251,4.2925,173.22688,22.24,5.9937501,58.1875,30,313,486.25,2052.080078125,2052.080078125,97,199051.77,199051.77,1
10203176,4.2581248,33.88625,23.737499,176.22125,35.213749,55.412502,12.875,91.25,313.5625,1092.0625,2972.927978515625,2972.927978515625,68,202159.11,202159.11,1
10203221,1.286875,8.3949995,5.703125,170.41125,26.248751,8.4125004,59.8125,30,313,506.6875,3019.672119140625,3019.672119140625,78,235534.42,235534.42,1
10203623,19.700001,25.5975,13.981874,147.19063,50.994999,25.793751,2,110.625,313,1026.625,2981.89599609375,2981.89599609375,63,187859.45,187859.45,1
10203744,.91133332,8.2060003,9.9860001,159.258,36.247334,8.2799997,59.200001,30,313,499.33334,2699.679931640625,2699.679931640625,97,261868.95,261868.95,1
10204101,3.32375,63.626877,1.588125,115.64188,89.520004,64.150002,50.3125,30,313,484.3125,2371.24169921875,2371.24169921875,72,170729.41,170729.41,1
10204322,10.216875,58.179375,8.8249998,112.85687,79,58.712502,53.3125,30,313,575.9375,1571.119995117188,1571.119995117188,88,138258.56,138258.56,1
10204453,.625,48.321877,3.6356249,126.35062,74.620003,48.724998,57.25,30,313,525.25,3048.4560546875,3048.4560546875,74,225585.75,225585.75,1
10204586,.98374999,60.80125,4.1300001,116.90375,86.895622,61.293751,66.375,30,313,557.9375,2204.6240234375,2204.6240234375,83,182983.8,182983.8,1
10204723,.33250001,72.974373,9.2224998,100.27625,79.286247,73.650002,42.125,33.75,313,500.4375,2211.939208984375,2211.939208984375,87,192438.72,192438.72,1
10205202,.75687504,39.223751,5.4087501,133.49625,65.720627,39.556252,57.4375,30,313,496,2533.37451171875,2533.37451171875,91,230537.08,230537.08,1
10205507,5.8031249,42.142502,6.2043753,127.43687,69.671875,42.53125,51.5,30,313,548.625,2205.736083984375,2205.736083984375,80,176458.89,176458.89,1
10220027,.158125,2.9524999,.93187499,169.52063,25.98625,2.96875,50.625,30,313,491.125,884.7376098632813,884.7376098632813,71,62816.371,62816.371,1
10220103,.97187501,2.568125,3.9512501,165.07375,30.396875,2.58125,54.1875,30,313,488.3125,4304.13623046875,4304.13623046875,101,434717.75,434717.75,1
