inflation,obs_monthnum,obs_year
9.6,1,2007
9.2,2,2007
8.6,3,2007
8.4,4,2007
7.9,5,2007
7.7,6,2007
7.4,7,2007
7.2,8,2007
7.1,9,2007
7.2,10,2007
7.4,11,2007
7.5,12,2007
7.7,1,2008
8,2,2008
8.2,3,2008
8.1,4,2008
7.9,5,2008
8.5,6,2008
8.7,7,2008
9.1,8,2008
9.3,9,2008
9.4,10,2008
9.6,11,2008
9.9,12,2008
10.1,1,2009
9.7,2,2009
9.5,3,2009
9.2,4,2009
8.7,5,2009
8.4,6,2009
8,7,2009
7.8,8,2009
7.5,9,2009
7.2,10,2009
7.3,11,2009
7.6,12,2009
7.8,1,2010
8.2,2,2010
8.3,3,2010
8.1,4,2010
7.8,5,2010
7.5,6,2010
7.3,7,2010
7.2,8,2010
7,9,2010
6.7,10,2010
6.4,11,2010
6.3,12,2010
6.580604534,1,2011
7.012195122,2,2011
7.15815234,3,2011
7.071024513,4,2011
7.006162828,5,2011
7.029936091,6,2011
7.432662803,7,2011
7.611731844,8,2011
7.743436358,9,2011
8.148393508,10,2011
8.903225806,11,2011
9.787367104,12,2011
10.31019202,1,2012
10.85470085,2,2012
11.39023694,3,2012
12.47431758,4,2012
17.30827523,5,2012
20.08170962,6,2012
21.70739448,7,2012
25.50292018,8,2012
28.34669957,9,2012
30.59724349,10,2012
33.29383886,11,2012
34.57704358,12,2012
31.35611498,1,2013
34.45277778,2,2013
34.28049077,3,2013
33.89138831,4,2013
32.36823859,5,2013
29.10422446,6,2013
26.00346371,7,2013
24.19849405,8,2013
22.14167267,9,2013
22.12373554,10,2013
21.09713519,11,2013
20.02578131,12,2013
25.90460526,1,2014
24.59521974,2,2014
24.09545804,3,2014
23.97798742,4,2014
22.5984252,5,2014
22.56745707,6,2014
22.3706177,7,2014
24.51721243,8,2014
23.73015873,9,2014
23.31525949,10,2014
23.6861584,11,2014
24.11095306,12,2014
21.22795558,1,2015
19.74009901,2,2015
18.17617866,3,2015
18.83322765,4,2015
19.52988421,5,2015
21.23035937,6,2015
22.1356934,7,2015
22.96217379,8,2015
24.09795164,9,2015
24.66264592,10,2015
24.59605027,11,2015
24.87106017,12,2015
23.4375,1,2016
23.30749354,2,2016
22.04724409,3,2016
20.91782284,4,2016
21.43484639,5,2016
22.65832876,6,2016
23.48442105,7,2016
22.78389618,8,2016
21.18238868,9,2016
20.07280011,10,2016
19.93275696,11,2016
19.96328591,12,2016
18.1580096,1,2017
16.13579212,2,2017
15.82795699,3,2017
14.60723742,4,2017
12.34513274,5,2017
11.30551817,6,2017
10.17198288,7,2017
9.334524341,8,2017
8.423970996,9,2017
8.266890474,10,2017
7.72927513,11,2017
7.077276205,12,2017
8.07994338,1,2018
7.846782243,2,2018
9.942278191,3,2018
9.718213323,4,2018
11.5756592,5,2018
13.91603438,6,2018
16.74457215,7,2018
17.76838235,8,2018
15.72576711,9,2018
16.19104651,10,2018
13.10457249,11,2018
9.9,12,2018
8.775227151,1,2019
7.897569011,2,2019
9.284771133,3,2019
9.135559921,4,2019
8.881057619,5,2019
8.939144736,6,2019
9.251968504,7,2019
9.514563107,8,2019
9.229305423,9,2019
9.523809524,10,2019
10.30358786,11,2019
11.55595996,12,2019
11.0817942,1,2020
11.02430556,2,2020
9.775086505,3,2020
9.450945095,4,2020
8.711433757,5,2020
8.545454545,6,2020
8.018018018,7,2020
7.563716583,8,2020
7.106349316,9,2020
7.471825516,10,2020
7.296109193,11,2020
7.60960472,12,2020
7.67425448,1,2021
8.311285984,2,2021
10.19442663,3,2021
9.17280965,4,2021
8.886473106,5,2021
9.051812475,6,2021
8.654882587,7,2021
8.391121776,8,2021
8.940506363,9,2021
9.780916029,10,2021
11.12702293,11,2021
11.52908484,12,2021
12.06386639,1,2022
12.95983925,2,2022
14.08924941,3,2022
15.70826184,4,2022
19.07386383,5,2022
23.52688326,6,2022
24.60775778,7,2022
25.48792852,8,2022
25.85655044,9,2022
26.72154142,10,2022
25.83083946,11,2022
25.429896,12,2022
25.89054217,1,2023
26.68700791,2,2023
26.97792297,3,2023
28.83667178,4,2023
29.21020629,5,2023
27.25008357,6,2023
28.34512787,7,2023
28.56547083,8,2023
27.77573948,9,2023
26.940042,10,2023
33.16010067,11,2023
34.4974407,12,2023
34.97967636,1,2024
33.45010836,2,2024
31.82934093,3,2024
32.26765799,4,2024
32.771261,5,2024
33.35729691,6,2024
33.68644068,7,2024
33.84188627,8,2024
34.28961749,9,2024
32.3859881,10,2024
