ea_id,district,distnum
31201007,Balaka,1
31201058,Balaka,1
31201104,Balaka,1
31201106,Balaka,1
31201197,Balaka,1
31201230,Balaka,1
31201234,Balaka,1
31201250,Balaka,1
31201350,Balaka,1
31201516,Balaka,1
31201726,Balaka,1
31201731,Balaka,1
31201732,Balaka,1
31201733,Balaka,1
31201734,Balaka,1
31201747,Balaka,1
31201765,Balaka,1
31201783,Balaka,1
31201784,Balaka,1
31201785,Balaka,1
31201786,Balaka,1
31201787,Balaka,1
31201788,Balaka,1
31201789,Balaka,1
31201790,Balaka,1
31201791,Balaka,1
31201792,Balaka,1
31201793,Balaka,1
31201794,Balaka,1
31201795,Balaka,1
31202735,Balaka,1
31202736,Balaka,1
31202737,Balaka,1
31202738,Balaka,1
31203739,Balaka,1
31203740,Balaka,1
31203741,Balaka,1
31204138,Balaka,1
31204184,Balaka,1
31204209,Balaka,1
31204267,Balaka,1
31204390,Balaka,1
31204410,Balaka,1
31204489,Balaka,1
31204532,Balaka,1
31204618,Balaka,1
31204742,Balaka,1
31204743,Balaka,1
31204796,Balaka,1
31204797,Balaka,1
31204798,Balaka,1
31204799,Balaka,1
31204800,Balaka,1
31204801,Balaka,1
31204802,Balaka,1
31204803,Balaka,1
31204804,Balaka,1
31205744,Balaka,1
31205745,Balaka,1
31205746,Balaka,1
31206747,Balaka,1
31207748,Balaka,1
31208749,Balaka,1
31208750,Balaka,1
31209751,Balaka,1
31220487,Balaka,1
31220637,Balaka,1
31220752,Balaka,1
31220805,Balaka,1
31220806,Balaka,1
31303263,Balaka,1
30501008,Blantyre,2
30501020,Blantyre,2
30501359,Blantyre,2
30501383,Blantyre,2
30501566,Blantyre,2
30501575,Blantyre,2
30501576,Blantyre,2
30501577,Blantyre,2
30501578,Blantyre,2
30501615,Blantyre,2
30501616,Blantyre,2
30501617,Blantyre,2
30501618,Blantyre,2
30501619,Blantyre,2
30502418,Blantyre,2
30502580,Blantyre,2
30502581,Blantyre,2
30502620,Blantyre,2
30502621,Blantyre,2
30503214,Blantyre,2
30503292,Blantyre,2
30503582,Blantyre,2
30503583,Blantyre,2
30503584,Blantyre,2
30503622,Blantyre,2
30503623,Blantyre,2
30503624,Blantyre,2
30503685,Blantyre,2
30504251,Blantyre,2
30504518,Blantyre,2
30504585,Blantyre,2
30504586,Blantyre,2
30504625,Blantyre,2
30504626,Blantyre,2
30505180,Blantyre,2
30505587,Blantyre,2
30505627,Blantyre,2
30506017,Blantyre,2
30506031,Blantyre,2
30506105,Blantyre,2
30506326,Blantyre,2
