ea_id,district,region
31201007,Balaka,South
31201058,Balaka,South
31201104,Balaka,South
31201106,Balaka,South
31201197,Balaka,South
31201230,Balaka,South
31201234,Balaka,South
31201250,Balaka,South
31201350,Balaka,South
31201516,Balaka,South
31201726,Balaka,South
31201731,Balaka,South
31201732,Balaka,South
31201733,Balaka,South
31201734,Balaka,South
31201747,Balaka,South
31201765,Balaka,South
31201783,Balaka,South
31201784,Balaka,South
31201785,Balaka,South
31201786,Balaka,South
31201787,Balaka,South
31201788,Balaka,South
31201789,Balaka,South
31201790,Balaka,South
31201791,Balaka,South
31201792,Balaka,South
31201793,Balaka,South
31201794,Balaka,South
31201795,Balaka,South
31202735,Balaka,South
31202736,Balaka,South
31202737,Balaka,South
31202738,Balaka,South
31203739,Balaka,South
31203740,Balaka,South
31203741,Balaka,South
31204138,Balaka,South
31204184,Balaka,South
31204209,Balaka,South
31204267,Balaka,South
31204390,Balaka,South
31204410,Balaka,South
31204489,Balaka,South
31204532,Balaka,South
31204618,Balaka,South
31204742,Balaka,South
31204743,Balaka,South
31204796,Balaka,South
31204797,Balaka,South
31204798,Balaka,South
31204799,Balaka,South
31204800,Balaka,South
31204801,Balaka,South
31204802,Balaka,South
31204803,Balaka,South
31204804,Balaka,South
31205744,Balaka,South
31205745,Balaka,South
31205746,Balaka,South
31206747,Balaka,South
31207748,Balaka,South
31208749,Balaka,South
31208750,Balaka,South
31209751,Balaka,South
31220487,Balaka,South
31220637,Balaka,South
31220752,Balaka,South
31220805,Balaka,South
31220806,Balaka,South
31303263,Balaka,South
30501008,Blantyre,South
30501020,Blantyre,South
30501359,Blantyre,South
30501383,Blantyre,South
30501566,Blantyre,South
30501575,Blantyre,South
30501576,Blantyre,South
30501577,Blantyre,South
30501578,Blantyre,South
30501615,Blantyre,South
30501616,Blantyre,South
30501617,Blantyre,South
30501618,Blantyre,South
30501619,Blantyre,South
30502418,Blantyre,South
30502580,Blantyre,South
30502581,Blantyre,South
30502620,Blantyre,South
30502621,Blantyre,South
30503214,Blantyre,South
30503292,Blantyre,South
30503582,Blantyre,South
30503583,Blantyre,South
30503584,Blantyre,South
30503622,Blantyre,South
30503623,Blantyre,South
30503624,Blantyre,South
30503685,Blantyre,South
30504251,Blantyre,South
30504518,Blantyre,South
30504585,Blantyre,South
30504586,Blantyre,South
30504625,Blantyre,South
30504626,Blantyre,South
30505180,Blantyre,South
30505587,Blantyre,South
30505627,Blantyre,South
30506017,Blantyre,South
30506031,Blantyre,South
30506105,Blantyre,South
