enum_old,population,enum
10101001,3637.829406,10101101
10101002,1775.000835,10101102
10101003,2462.753812,10101103
10101004,1823.258508,10101104
10101005,1658.907728,10101105
10101006,1454.59039,10101106
10101007,2132.91437,10101107
10101008,2291.48257,10101108
10101009,2749.904387,10101109
10101010,1549.803311,10101110
10101011,2261.760171,10101111
10101012,3246.57889,10101112
10101013,2279.96307,10101113
10101014,1029.956819,10101114
10101015,2231.802019,10101115
10101016,1956.521688,10101116
10101017,1741.472497,10101117
10101018,2330.13304,10101118
10101019,1026.526141,10101119
10101020,2318.66257,10101120
10101021,3010.855013,10101121
10101022,2980.575607,10101122
10101023,3966.163967,10101123
10101024,1640.534776,10101124
10101025,2541.359696,10101125
10101026,4089.70031,10101126
10101027,1597.270698,10101127
10101028,1082.930213,10101128
10101029,2175.521719,10101129
10101030,4145.659536,10101130
10101031,3511.232704,10101131
10101032,3163.90169,10101132
10101033,1695.224513,10101133
10101034,1953.017976,10101134
10101035,1351.389223,10101135
10101036,1815.198355,10101136
10101037,1511.312797,10101137
10101038,1322.504798,10101138
10101901,282.4256345,10102001
10101902,132.4032874,10102002
10101903,190.7301647,10102003
10102001,1887.91407,10102101
10102002,1200.771935,10102102
10102003,1149.616387,10102103
10102004,1517.43642,10102104
10102005,1157.200223,10102105
10102006,1666.467618,10102106
10102007,1103.376073,10102107
10102008,1011.093107,10102108
10102009,925.2992579,10102109
10102010,1614.835855,10102110
10102011,852.0348938,10102111
10102012,2044.242026,10102112
10102013,1664.95532,10102113
10102014,1870.09692,10102114
10102015,1582.262933,10102115
10102016,1534.868202,10102116
10102017,1194.833556,10102117
10102018,1158.131989,10102118
10102019,1331.421493,10102119
10102020,956.6960184,10102120
10102021,1186.552038,10102121
10102022,1502.724772,10102122
10102023,979.3634148,10102123
10102024,523.7052263,10102124
10102025,720.8837098,10102125
10102801,1492.523748,10102901
10102901,7.864427172,10103001
10102902,8.664693419,10103002
10102903,9.989544302,10103003
10103001,1505.6629,10103101
10103002,2438.52111,10103102
10103003,1117.01604,10103103
10103004,1429.110661,10103104
10103005,1223.486353,10103105
10103006,2113.999749,10103106
10103007,1401.125225,10103107
10103008,1710.57409,10103108
10103009,1553.727769,10103109
10103010,1216.453093,10103110
10103011,1619.818985,10103111
10103012,1420.994958,10103112
10103013,2044.333314,10103113
10103014,1474.896121,10103114
10103801,689.425892,10103901
10103802,602.2388336,10103902
10103901,5.413538791,10104001
10103902,443.1291542,10104002
10104001,1720.988862,10104101
10104002,2455.115875,10104102
10104003,1206.741527,10104103
10104004,2125.492965,10104104
10104005,1263.077094,10104105
10104006,2438.607444,10104106
10104007,2901.940358,10104107
10104008,1923.868538,10104108
10104009,1954.782452,10104109
10104010,2227.276011,10104110
10104011,2035.553836,10104111
10104012,2072.856189,10104112
10104013,2094.894535,10104113
10104014,1321.491945,10104114
10104015,1079.056244,10104115
10104016,2162.911589,10104116
10104017,1380.732177,10104117
10104801,2371.001628,10104901
10104901,17.79082569,10105001
10104902,37.76880192,10105002
10104903,5.791434854,10105003
10104904,8.02842994,10105004
10104905,12.24998601,10105005
10105001,2059.951637,10105101
10105002,1269.224811,10105102
10105003,1324.557655,10105103
10105004,1701.943844,10105104
10105005,983.3157246,10105105
10105006,1457.471494,10105106
10105007,2028.090456,10105107
10105008,1848.688774,10105108
10105009,2310.931055,10105109
10105010,2207.909223,10105110
10105011,2098.210198,10105111
10105012,2280.256155,10105112
10105013,1947.823925,10105113
10105901,149.6329489,10106001
10106902,14.66746956,10107002
10120701,3507.653492,10120801
10120702,2415.727459,10120802
10120703,2686.451696,10120803
10120704,5510.44097,10120804
10120705,4688.856641,10120805
10201001,1134.010512,10201101
10201002,1428.76643,10201102
10201003,1927.565696,10201103
10201004,1424.040472,10201104
10201005,1450.434357,10201105
10201006,2322.868501,10201106
10201007,2205.108401,10201107
10201008,2031.28482,10201108
10201009,2966.118823,10201109
10201010,1075.195265,10201110
10201011,1874.476569,10201111
10201012,568.2049591,10201112
10201013,382.4044999,10201113
10201014,538.9118374,10201114
10201015,517.1400917,10201115
10201016,1807.142947,10201116
10201017,1364.548452,10201117
10201018,1490.270643,10201118
10201019,2445.052282,10201119
10201020,1060.776086,10201120
10201021,2171.291749,10201121
10201022,3245.25241,10201122
10201023,2896.616179,10201123
10201024,2608.753993,10201124
10201025,3301.563837,10201125
10201026,791.9070609,10201126
10201027,1270.848057,10201127
10201028,3298.517405,10201128
10201029,1677.510432,10201129
10201030,2890.687966,10201130
10201031,3472.047718,10201131
10201032,2821.837624,10201132
10201033,2765.17714,10201133
10201034,2433.96376,10201134
